SEQPLT,YEAR,PSTATABB,PNAME,ORISPL,LAT,LON,PLPRMFL,PLFUELCT,NAMEPCAP,COALFLAG,TOTALPOP,RAW_D_INDEX,RAW_D_LING,RAW_D_INCOME,RAW_D_MINOR,RAW_D_OVER64,RAW_D_UNDER5,RAW_D_LESSHS,N_D_INDEX_PER,N_D_LING_PER,N_D_INCOME_PER,N_D_MINOR_PER,N_D_OVER64_PER,N_D_UNDER5_PER,N_D_LESSHS_PER,S_D_INDEX_PER,S_D_LING_PER,S_D_INCOME_PER,S_D_MINOR_PER,S_D_OVER64_PER,S_D_UNDER5_PER,S_D_LESSHS_PER,N_D_INDEX,N_D_LING,N_D_INCOME,N_D_MINOR,N_D_OVER64,N_D_UNDER5,N_D_LESSHS,S_D_INDEX,S_D_LING,S_D_INCOME,S_D_MINOR,S_D_OVER64,S_D_UNDER5,S_D_LESSHS,DISTANCE
6146,2021,MS,Hinds Energy Facility,55218,32.378969,-90.219906,NG,GAS,600.4,,25162,0.76,0,0.54,0.98,0.21,0.06,0.15,93,0,84,95,70,57,71,87,0,68,94,71,55,54,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6147,2021,MS,International Paper Vicksburg Mill,54100,32.5292,-90.7742,BLQ,BIOMASS,50.5,,212,0.15,0,0.23,0.07,0.28,0,0.08,22,0,43,19,86,0,48,9,0,21,13,87,0,28,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6148,2021,MS,Kemper County,7960,32.7976,-88.606,NG,GAS,372,,493,0.72,0,0.69,0.75,0.15,0.07,0.18,90,0,93,81,49,67,78,83,0,85,76,46,64,65,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6149,2021,MS,L L Wilkins,2059,34.1845,-90.562662,NG,GAS,55.2,,15585,0.73,0,0.62,0.84,0.16,0.09,0.19,91,0,89,86,52,78,79,84,0,77,83,51,74,67,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6150,2021,MS,Leaf River Cellulose LLC,10233,31.2434,-89.0456,BLQ,BIOMASS,50.4,,386,0.36,0,0.47,0.25,0.15,0.1,0.17,60,0,76,45,50,83,76,43,0,56,34,48,80,62,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6151,2021,MS,Lineage MS,65257,32.254379,-90.15538,SUN,SOLAR,1.2,,16151,0.4,0,0.4,0.41,0.15,0.06,0.12,65,0,69,60,49,57,63,49,0,46,50,46,55,44,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6152,2021,MS,Magnolia Combined Cycle Plant,55451,34.835,-89.2026,NG,GAS,1003.5,,1964,0.39,0.01,0.3,0.47,0.24,0.04,0.21,63,60,54,64,79,38,82,47,88,30,55,79,38,72,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6153,2021,MS,Meridian,7719,32.55078,-88.60669,DFO,OIL,9,,1149,0.31,0.04,0.29,0.32,0.06,0.04,0.07,52,73,53,52,14,38,45,34,93,29,41,10,39,25,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6154,2021,MS,Meridian II,62164,32.55332,-88.580396,SUN,SOLAR,5,,897,0.31,0.05,0.28,0.34,0.03,0.04,0.07,53,76,50,54,6,37,44,34,94,27,43,3,38,25,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6155,2021,MS,Meridian III,62163,32.453955,-88.549484,SUN,SOLAR,52.5,,1560,0.44,0,0.47,0.4,0.25,0.03,0.11,68,0,77,59,81,26,59,54,0,57,49,82,28,38,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6156,2021,MS,Mississippi Baptist Medical Center,54203,32.3133,-90.1797,NG,GAS,4.2,,42784,0.67,0,0.57,0.77,0.15,0.05,0.19,88,0,86,82,50,53,79,79,0,71,78,47,52,67,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6157,2021,MS,Moselle Generation Complex,2070,31.528,-89.3004,NG,GAS,510.5,,1934,0.23,0,0.36,0.11,0.11,0.09,0.16,39,0,62,25,32,79,74,22,0,39,17,27,76,59,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6158,2021,MS,Prairie Bluff,57408,33.954444,-88.9925,LFG,BIOMASS,1.6,,1492,0.51,0,0.52,0.49,0.14,0.04,0.25,75,0,82,66,44,44,86,63,0,64,57,42,43,82,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6159,2021,MS,Red Hills Generation Facility,55076,33.3761,-89.2183,RC,COAL,513.7,Yes,484,0.21,0,0.23,0.2,0.23,0.05,0.18,35,0,42,39,76,46,76,18,0,20,28,76,45,63,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6160,2021,MS,Silver Creek Generating Plant,7988,31.6004,-89.9468,NG,GAS,250.5,,720,0.67,0,0.6,0.75,0.16,0.06,0.15,88,0,88,80,52,61,71,79,0,75,76,51,58,55,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6161,2021,MS,Southaven Combined Cycle Plant,55269,34.9939,-90.0378,NG,GAS,903.9,,65191,0.62,0.01,0.46,0.78,0.14,0.06,0.13,84,58,75,82,43,63,65,87,78,70,89,38,62,56,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.32,0.01,0.34,0.27,0.16,0.06,0.12,3
6162,2021,MS,SR Houston,60853,33.926666,-88.997563,SUN,SOLAR,3.1,,3996,0.52,0,0.54,0.5,0.25,0.02,0.23,76,0,83,67,81,25,84,64,0,66,59,82,27,78,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6163,2021,MS,Sumrall I Solar Farm,60306,31.403531,-89.49764,SUN,SOLAR,52,,2643,0.2,0,0.2,0.21,0.08,0.06,0.05,33,0,36,40,20,59,33,17,0,16,28,16,57,17,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6164,2021,MS,Sumrall II Solar Farm,60303,31.397089,-89.485884,SUN,SOLAR,52,,1246,0.19,0,0.14,0.23,0.1,0.06,0.04,29,0,25,43,28,61,31,14,0,9,31,24,58,15,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6165,2021,MS,Sweatt Electric Generating Plant,2048,32.2925,-88.7461,NG,GAS,41.9,,1610,0.28,0.08,0.27,0.28,0.12,0.07,0.08,47,82,50,48,35,65,49,29,97,26,36,31,62,29,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6166,2021,MS,Sylvarena Generating Plant,7989,31.982076,-89.412714,NG,GAS,141,,342,0.28,0.14,0.28,0.27,0.23,0.06,0.16,47,89,50,48,77,59,72,29,98,26,36,77,57,56,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6167,2021,MS,Watson Electric Generating Plant,2049,30.4392,-89.0286,NG,GAS,919.1,,25942,0.38,0.02,0.39,0.38,0.13,0.07,0.08,62,64,67,57,38,67,50,46,90,44,47,34,64,30,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6168,2021,MS,Yazoo,2067,32.8458,-90.4211,,,34.1,,18206,0.76,0.02,0.69,0.83,0.09,0.07,0.29,93,66,93,85,23,68,90,87,90,86,82,19,64,87,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.44,0.01,0.41,0.44,0.16,0.06,0.15,3
6169,2021,MT,Basin Creek Plant,55866,45.9293,-112.5194,NG,GAS,54.9,,3584,0.14,0,0.25,0.04,0.27,0.07,0.03,20,0,45,12,84,69,21,25,0,34,23,77,71,28,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6170,2021,MT,Big Fork,6459,48.0592,-114.0708,WAT,HYDRO,4.1,,2921,0.16,0,0.18,0.15,0.37,0.01,0.04,24,0,32,32,94,13,30,34,0,21,71,93,11,43,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6171,2021,MT,Big Timber Wind Farm,61155,45.855428,-109.649167,WND,WIND,25,,2,0.15,0,0.26,0.04,0.27,0.04,0.01,21,0,47,11,84,41,13,27,0,36,21,78,43,14,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6172,2021,MT,Black Eagle,2181,47.521331,-111.261442,WAT,HYDRO,24,,48169,0.28,0.01,0.38,0.17,0.17,0.07,0.07,48,58,66,35,58,66,45,73,91,65,76,43,68,65,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6173,2021,MT,Black Eagle Solar LLC,61336,47.547466,-111.253974,SUN,SOLAR,3,,18439,0.21,0,0.31,0.12,0.17,0.06,0.05,35,0,55,27,57,59,36,54,89,48,60,42,61,52,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6174,2021,MT,Broadwater Power Project,54006,46.12061,-111.407656,WAT,HYDRO,9.7,,32,0.22,0,0.35,0.09,0.2,0.07,0.06,36,0,61,21,69,65,41,56,0,58,49,55,67,60,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6175,2021,MT,Canyon Ferry,6400,46.649026,-111.727874,WAT,HYDRO,49.8,,672,0.13,0,0.09,0.17,0.26,0.03,0.04,16,0,15,35,83,35,31,20,0,6,75,75,34,43,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6176,2021,MT,Cochrane,2182,47.5375,-111.194969,WAT,HYDRO,60.4,,9053,0.28,0.01,0.36,0.2,0.1,0.1,0.04,48,58,63,39,25,85,29,74,91,59,80,15,88,41,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6177,2021,MT,Colstrip,6076,45.8831,-106.614,SUB,COAL,1647.4,Yes,2335,0.22,0,0.18,0.26,0.07,0.03,0.06,37,0,33,46,17,26,38,56,0,21,87,9,25,54,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6178,2021,MT,Colstrip Energy Limited Partnership,10784,45.9752,-106.6547,WC,COAL,46.1,Yes,23,0.14,0,0.27,0.01,0.26,0.03,0.04,19,0,49,4,82,35,30,23,0,38,6,75,34,42,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6179,2021,MT,Culbertson Station,56606,48.21,-104.391667,NG,GAS,108.2,,56,0.23,0,0.21,0.23,0.14,0.04,0.08,38,0,39,43,44,40,47,58,0,28,84,30,40,67,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6180,2021,MT,Dave Gates Generating Station,56908,46.104713,-112.876605,NG,GAS,203.1,,548,0.24,0,0.35,0.13,0.29,0.01,0.06,41,0,62,29,87,0,39,63,0,58,67,81,8,56,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6181,2021,MT,Diamond Willow Wind Facility,56782,46.2753,-104.1836,WND,WIND,30,,1,0.14,0,0.27,0.02,0.23,0.05,0.05,20,0,49,6,76,51,33,25,0,38,11,67,53,46,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6182,2021,MT,Fairfield Wind,58966,47.723333,-111.965278,WND,WIND,10,,29,0.13,0,0.17,0.08,0.25,0.05,0.11,17,0,32,21,80,46,59,20,0,21,47,72,47,82,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6183,2021,MT,Flathead Landfill to Gas Energy Facility,64505,48.313067,-114.342137,LFG,BIOMASS,1.6,,3158,0.11,0.01,0.14,0.09,0.22,0.04,0.05,13,57,25,21,74,45,32,16,91,13,49,62,46,45,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6184,2021,MT,Flint Creek Hydroelectric LLC,58392,46.2275,-113.294722,WAT,HYDRO,2,,176,0.2,0,0.31,0.09,0.27,0.05,0.07,33,0,56,22,85,47,44,50,0,49,50,78,48,64,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6185,2021,MT,Fort Peck,6623,48.0122,-106.4123,WAT,HYDRO,179.7,,210,0.17,0,0.27,0.07,0.36,0.05,0.05,26,0,49,19,94,53,37,37,0,39,42,93,55,53,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6186,2021,MT,Glendive Generating Station,2176,47.0539,-104.74,NG,GAS,83.7,,966,0.15,0,0.2,0.11,0.12,0.04,0.02,22,0,36,25,36,40,19,30,0,25,58,23,40,25,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6187,2021,MT,Gordon Butte Wind LLC,57748,46.411944,-110.337777,WND,WIND,17.7,,9,0.16,0,0.25,0.08,0.34,0.1,0.02,24,0,45,19,92,85,18,33,0,34,42,91,87,22,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6188,2021,MT,Great Divide Solar LLC,61335,46.805739,-112.249048,SUN,SOLAR,3,,107,0.1,0.01,0.12,0.08,0.2,0.07,0.09,11,57,21,21,68,64,52,13,90,11,47,54,67,73,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6189,2021,MT,Green Meadow Solar LLC,61291,46.694488,-112.063623,SUN,SOLAR,3,,6605,0.14,0,0.18,0.1,0.12,0.08,0.02,20,0,34,25,35,74,20,25,0,23,56,23,77,27,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6190,2021,MT,Greenfield Wind - MT,60486,47.723,-111.963,WND,WIND,25,,29,0.13,0,0.17,0.08,0.25,0.05,0.11,17,0,32,21,80,46,59,20,0,21,47,72,47,82,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6191,2021,MT,Hardin Generating Station,55749,45.7578,-107.6,SUB,COAL,115.7,Yes,4132,0.57,0,0.55,0.6,0.13,0.08,0.12,80,0,84,73,39,77,63,96,0,88,96,26,80,85,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6192,2021,MT,Hauser,2185,46.765941,-111.887341,WAT,HYDRO,18.8,,230,0.11,0,0.17,0.04,0.23,0.02,0.01,12,0,32,12,77,24,14,14,0,20,23,68,22,17,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6193,2021,MT,Holter,2186,46.9915,-112.0047,WAT,HYDRO,38.4,,40,0.1,0,0.17,0.03,0.3,0.01,0.03,10,0,30,9,88,13,23,11,0,19,16,83,11,32,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6194,2021,MT,Horseshoe Bend Wind Park,56591,47.4983,-111.4392,WND,WIND,9,,477,0.2,0,0.28,0.13,0.23,0.03,0.11,32,0,51,28,76,33,58,49,0,40,65,67,33,81,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6195,2021,MT,Hungry Horse,2203,48.341521,-114.01443,WAT,HYDRO,428,,23,0.3,0,0.5,0.09,0.31,0.08,0.03,51,0,80,22,90,74,26,77,0,84,50,86,77,36,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6196,2021,MT,Judith Gap Wind Energy Center,56377,46.5725,-109.7531,WND,WIND,135,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6197,2021,MT,Lewis & Clark,6089,47.6785,-104.15665,LIG,COAL,68.6,Yes,6045,0.15,0.02,0.16,0.14,0.14,0.06,0.06,20,62,28,30,44,55,38,26,93,15,69,31,57,54,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6198,2021,MT,Libby,6172,48.4098,-115.3143,WAT,HYDRO,525,,24,0.21,0,0.36,0.06,0.3,0.03,0.06,34,0,62,16,88,27,41,51,0,59,32,84,26,59,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6199,2021,MT,Madison Dam,6422,45.487869,-111.633807,WAT,HYDRO,12.6,,30,0.03,0,0.05,0,0.55,0,0.02,0,0,8,4,98,0,15,0,0,2,0,99,0,19,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6200,2021,MT,Magpie Solar LLC,61337,46.291439,-108.937935,SUN,SOLAR,3,,174,0.24,0.03,0.33,0.16,0.26,0.05,0.08,41,68,59,33,82,48,47,64,95,54,73,74,49,67,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6201,2021,MT,Miles City GT,2177,46.4112,-105.7953,NG,GAS,23.3,,9492,0.2,0.02,0.31,0.09,0.21,0.05,0.07,32,62,55,22,70,50,44,48,93,47,50,57,52,64,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6202,2021,MT,Morony,2191,47.581737,-111.060898,WAT,HYDRO,63,,11,0.19,0,0.27,0.12,0.12,0.1,0.08,31,0,49,27,35,84,48,45,0,38,61,23,86,69,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6203,2021,MT,Musselshell Wind Project,57963,46.275278,-109.482778,WND,WIND,10,,13,0.15,0,0.29,0.02,0.27,0.01,0.12,22,0,52,6,85,16,64,29,0,43,11,79,14,87,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6204,2021,MT,Musselshell Wind Project Two LLC,57965,46.275278,-109.482778,WND,WIND,10,,13,0.15,0,0.29,0.02,0.27,0.01,0.12,22,0,52,6,85,16,64,29,0,43,11,79,14,87,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6205,2021,MT,Mystic,2192,45.225741,-109.762489,WAT,HYDRO,12,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6206,2021,MT,NaturEner Glacier Wind Energy 1,57049,48.51,-112.1097,WND,WIND,106.5,,4,0.14,0,0.18,0.1,0.22,0.07,0.06,18,0,32,23,73,69,37,23,0,21,54,60,71,53,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6207,2021,MT,NaturEner Glacier Wind Energy 2,57050,48.5333,-112.1847,WND,WIND,103.5,,26,0.31,0,0.39,0.23,0.21,0.08,0.15,53,0,67,43,70,76,72,79,0,66,84,57,79,93,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6208,2021,MT,NaturEner Rim Rock Energy,57995,48.820278,-112.103333,WND,WIND,189,,5,0.3,0.04,0.57,0.03,0.13,0.11,0.26,52,71,86,10,38,88,87,78,96,90,19,25,90,99,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6209,2021,MT,Noxon Rapids,2199,47.96048,-115.73361,WAT,HYDRO,487.8,,313,0.21,0,0.41,0.02,0.32,0.07,0.12,35,0,70,7,91,64,63,54,0,72,12,89,66,86,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6210,2021,MT,OREG 1 Inc,56833,48.2139,-104.3975,WH,OTHF,30,,57,0.23,0,0.22,0.23,0.14,0.04,0.08,38,0,39,43,44,39,47,59,0,28,85,30,40,67,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6211,2021,MT,OREG 2 Inc,56880,48.2142,-104.3975,WH,OTHF,30,,57,0.23,0,0.22,0.23,0.14,0.04,0.08,38,0,39,43,44,39,47,59,0,28,85,30,40,67,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6212,2021,MT,Phillips 66 Billings Refinery,56496,45.7769,-108.4911,PRG,OTHF,1.6,,41774,0.3,0.01,0.37,0.23,0.14,0.06,0.07,52,57,65,42,42,62,45,78,90,63,84,29,64,65,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6213,2021,MT,Pryor Mountain Wind,59757,45.165525,-108.693138,WND,WIND,239.8,,4,0.18,0.01,0.29,0.07,0.25,0.03,0.02,27,59,52,17,82,33,17,39,92,42,38,73,32,21,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6214,2021,MT,Rainbow (MT),2193,47.5344,-111.2045,WAT,HYDRO,59,,13885,0.24,0.01,0.32,0.16,0.14,0.08,0.05,41,58,57,34,42,73,36,63,91,50,74,29,76,52,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6215,2021,MT,River Bend Solar LLC,61289,45.703779,-109.565219,SUN,SOLAR,2,,298,0.16,0,0.27,0.05,0.27,0.04,0.06,24,0,50,13,85,38,40,33,0,39,26,79,39,57,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6216,2021,MT,Ryan,2194,47.569939,-111.122546,WAT,HYDRO,52.8,,22,0.15,0,0.22,0.09,0.12,0.11,0.09,22,0,39,22,35,88,52,29,0,28,50,23,90,74,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6217,2021,MT,Selis Ksanka Qlispe,2188,47.6777,-114.2339,WAT,HYDRO,227.8,,713,0.2,0.01,0.16,0.24,0.28,0.04,0.02,33,59,30,44,85,36,19,50,92,17,85,79,35,25,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6218,2021,MT,Sidney MT Plant,57914,47.717222,-104.135556,NG,GAS,4,Yes,6860,0.15,0.02,0.17,0.13,0.13,0.06,0.06,21,61,31,29,40,58,40,28,92,19,67,27,61,58,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6219,2021,MT,South Dry Creek Hydro,10138,45.206341,-109.1652,WAT,HYDRO,2,,38,0.2,0.01,0.29,0.1,0.23,0.05,0.02,31,57,53,23,77,54,17,46,90,43,53,68,56,22,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6220,2021,MT,South Mills Solar LLC,61290,45.730113,-107.632624,SUN,SOLAR,3,,4173,0.58,0,0.55,0.6,0.13,0.08,0.12,81,0,84,73,38,77,63,96,0,89,96,25,80,86,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6221,2021,MT,South Peak Wind,62939,47.329911,-110.614592,WND,WIND,80,,36,0.21,0,0.36,0.05,0.16,0.05,0.04,34,0,63,15,52,46,27,52,0,60,30,37,47,38,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6222,2021,MT,Spion Kop Wind Farm,58218,47.333333,-110.639167,WND,WIND,40,,36,0.21,0,0.36,0.05,0.16,0.05,0.04,34,0,63,15,52,46,27,52,0,60,30,37,47,38,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6223,2021,MT,Stillwater Wind LLC,61858,45.86584,-109.476647,WND,WIND,79.7,,1,0.17,0,0.31,0.03,0.26,0.04,0.06,26,0,56,9,83,42,40,36,0,48,16,76,43,57,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6224,2021,MT,Stoltze CoGen1,58523,48.3877,-114.2409,WDS,BIOMASS,2.8,,8719,0.21,0,0.36,0.06,0.16,0.06,0.08,35,0,63,16,52,56,47,53,0,59,33,37,57,67,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6225,2021,MT,Thompson Falls,2195,47.593155,-115.358237,WAT,HYDRO,98.1,,1890,0.27,0,0.47,0.07,0.26,0.06,0.1,46,0,77,18,83,57,57,72,0,80,40,76,59,79,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6226,2021,MT,Tiber Dam Hydroelectric Plant,56499,48.318,-111.1018,WAT,HYDRO,7.5,,3,0.19,0,0.37,0.02,0.23,0.05,0.25,31,0,64,6,77,53,86,44,0,62,10,68,54,99,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6227,2021,MT,Turnbull Hydro,57690,47.605278,-112.096944,WAT,HYDRO,13,,97,0.19,0,0.32,0.06,0.18,0.05,0.08,30,0,56,16,62,48,49,43,0,50,35,47,49,69,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6228,2021,MT,Two Dot Wind Broadview East LLC,64332,46.10265,-108.806609,WND,WIND,1.8,,41,0.12,0,0.18,0.06,0.19,0.03,0.06,15,0,33,17,65,26,38,19,0,22,36,51,26,54,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
6229,2021,MT,Two Dot Wind Farm,59003,46.449444,-110.087222,WND,WIND,9.7,,184,0.39,0,0.68,0.1,0.23,0.11,0.12,63,0,92,24,77,89,63,88,0,96,54,68,91,86,0.35,0.05,0.3,0.4,0.16,0.06,0.12,0.24,0,0.32,0.14,0.19,0.06,0.06,3
